placenm,hhs,white_hhs,black_hhs,hispanic_hhs,asian_hhs,other_hhs,ho_rate,white_ho_rate,black_ho_rate,hispanic_ho_rate,asian_ho_rate,other_ho_rate,mean_hv,white_mean_hv,black_mean_hv,hispanic_mean_hv,asian_mean_hv,other_mean_hv,hw,white_hw,black_hw,hispanic_hw,asian_hw,other_hw
"Cathedral City, CA",24466.4154,16360.1718,660.283,6062.8826,965.029,418.049,0.66102967,0.732148827,0.323076923,0.512823818,0.666396761,0.548598131,485024.8093,511762.3762,686635.9223,369424.5511,464618.6709,552459.8214,7630410300,5940025900,141447000,1131547400,293639000,123751000
"Catoosa, OK",2988.2664,2300.7651,59.8185,160.0224,32.3463,435.3141,0.78493052,0.810933502,0.53968254,0.750791139,0.540117417,0.711938345,205435.8499,215912.74,221379.3103,138603.6036,209933.3333,166414.0351,443536000,371154000,6420000,15385000,3149000,47428000
"Cayce, SC",5437.3528,3972.3816,1022.9824,233.0944,121.5808,87.3136,0.699311032,0.77444745,0.526589705,0.394518272,0.624203822,0.222838137,222541.3587,241646.2681,132426.2136,158806.8182,208571.4286,166222.2222,782900500,683134000,68199500,13975000,14600000,2992000
"Cedar Falls, IA",15534.7655,12871.911,1581.6595,475.3065,417.503,188.3855,0.683336868,0.737470334,0.237076311,0.711405167,0.740315638,0.53418124,188938.6014,193430.5874,88786.68478,147631.4199,255635.1792,69600,1974975200,1807995700,32673500,48866000,78480000,6960000
"Cedar Hill, TX",15233.7155,3889.1352,6803.0249,3889.9814,432.4082,219.1658,0.67807249,0.856505657,0.504073636,0.791494453,0.763209393,0.731660232,215269.4792,234352.6188,215316.9367,199344.0367,176911.315,204620.2532,2199193000,769614000,731001000,608398000,57850000,32330000
"Cedar Park, TX",24204.5276,16762.2486,1107.2505,4098.3196,1665.7927,570.9162,0.70674425,0.731635921,0.658625036,0.586610424,0.707287647,0.930036667,335235.9606,335269.1692,374820.8333,292213.2601,415246.9136,301419.0476,5610173800,4019206800,269871000,691961000,470890000,158245000
"Cedar Rapids, IA",56127.4983,49634.5247,3096.9618,1059.8332,1275.7473,1060.4313,0.707309016,0.764384783,0.095017381,0.540632054,0.424285045,0.33107727,212674.9842,214601.8176,138122.8669,108666.6667,223022.1811,221048.8506,8387688700,8087698700,40470000,61940000,120655000,76925000
"Cedarburg, WI",4761.9673,4431.7974,39.225,102.6649,68.0423,120.2377,0.751699597,0.764108192,0.593333333,0.444218034,0.797847809,0.582427142,316319.5737,317698.8239,235714.2857,261204.5455,330132.0755,302089.5522,1053660500,999480500,4950000,11493000,17497000,20240000
"Cedartown, GA",3631.1535,2772.783,528.4305,213.174,14.8005,101.9655,0.655056306,0.733933921,0.425550758,0.330680571,0.893280632,0.343086632,160440.9644,167952.6403,99674.64115,113424.2424,167818.1818,225000,342701900,305337900,20832000,7486000,1846000,7200000
"Centennial, CO",41191.5742,32914.996,1566.7703,2834.2549,2785.7727,1089.7803,0.774788224,0.811087496,0.691511576,0.554841945,0.641371351,0.711232163,607543.8072,630548.2473,418914.2591,540281.2098,511151.6184,439932.1149,19110898000,16584680000,449495000,839597000,900138000,336988000
"Center Line, MI",3276.536,2231.898,663.288,91.64,228.114,61.596,0.690947391,0.798601907,0.322577824,0.540506329,0.798372743,0.582862524,137479.9713,135542.2018,137981.1881,138936.1702,163769.2308,95000,286920700,221611500,27872200,6530000,27677000,3230000
"Centerton, AR",4332.207,3477.754,62.135,514.151,158.928,119.239,0.678051395,0.708165385,0.32733564,0.614535419,0.505952381,0.485755499,245850.2322,255214.9489,313157.8947,177257.8397,205821.9178,268549.0196,635277000,549733000,5950000,50873000,15025000,13696000
"Centerville, GA",2951.0034,1739.4501,914.8704,119.7753,118.8333,58.0743,0.629153765,0.755760743,0.395901977,0.650806134,0.617518827,0.490673155,176358.1313,184969.0236,144529.5522,134805.5556,205289.8551,229259.2593,298221600,219743200,48417400,9706000,14165000,6190000
"Centerville, OH",10163.6319,9113.097,322.2948,190.1847,334.7943,203.2611,0.69725465,0.723971302,0.307875895,0.530839232,0.565766801,0.489120151,236972.7233,234506.5808,219105.2632,189178.9474,369408.6022,209489.7959,1621130400,1493103400,20815000,17972000,68710000,20530000
"Central Falls, RI",7530.9886,5202.68,556.8835,1335.3181,142.09,294.017,0.569504514,0.65987395,0.221982336,0.431366129,0.273846154,0.398884758,288244.2265,300317.4954,261050.4202,227481.5884,261111.1111,275214.2857,1175748200,978434400,31065000,126024800,9400000,30824000
"Ceres, CA",13982.9034,4492.4766,347.1132,8032.3914,776.2059,334.7163,0.604301321,0.741053943,0.799539171,0.508612964,0.773312725,0.470728793,337241.1207,320894.7449,372971.0145,355641.4767,358907.4074,56638.70968,2810567500,1050288500,102940000,1435369000,213191000,8779000
"Cerritos, CA",14805.928,4168.405,1460.5598,3973.0062,4736.4176,467.5394,0.689321399,0.852347505,0.466554125,0.582189124,0.703995315,0.693473962,636399.1582,591328.9625,628934.4262,553154.2567,744568.3144,629429.9363,6350627200,2051911500,422015000,1254000700,2425059000,197641000
"Chambersburg, PA",8060.4225,7226.5801,364.8871,379.314,51.3857,38.2556,0.741980895,0.780467015,0.20302088,0.631196581,0.233438486,0.394067797,218740.1306,219574.6856,238513.8889,187529.661,300000,250000,1273286300,1204806300,17173000,44257000,3300000,3750000
"Chamblee, GA",4588.7283,2520.4701,741.7365,618.5559,594.1062,113.8596,0.501351584,0.686541689,0.196906718,0.165410919,0.46572532,0.396095718,481514.6295,523854.8995,371875,325626.3736,346044.4015,402926.8293,1020329500,833977000,50575000,29632000,89625500,16520000
"Champaign, IL",32959.4715,22935.9869,4461.9139,1584.5861,3403.7764,573.2082,0.513813979,0.619676971,0.234619207,0.243703892,0.306845097,0.426863572,186248.8912,187357.1531,124742.5265,66414.69816,213447.4446,457871.9008,3107376500,2620564500,129358000,25304000,221345000,110805000
"Chandler, AZ",96492.0855,63988.0158,3561.0668,15516.5713,10000.5182,3425.9134,0.66491631,0.720995071,0.404817259,0.539839919,0.627874084,0.562479279,353419.6192,354383.6309,333662.7095,314306.8646,407367.9917,339305.1202,22481375400,16198167000,477805000,2614404500,2541568900,649430000
"Chapel Hill, NC",22465.8698,16091.6016,2680.7138,1732.5226,1708.9398,252.092,0.641829403,0.697670305,0.360382224,0.602910115,0.636212229,0.375806452,364204.8511,373098.8588,190817.4187,412346.5251,405006.4815,74946.23656,5172801500,4119384500,181849000,427191000,437407000,6970000
"Charleston, SC",55455.452,41058.2856,10906,1593.5224,1325.5464,572.0976,0.634792381,0.674726409,0.543257143,0.378959718,0.490832158,0.559912854,442559.7991,483386.6837,250261.439,395928.2137,438057.3643,575977.918,15423209000,13249629000,1471287000,237161000,282547000,182585000
"Charleston, WV",20660.8586,18321.1701,1367.5054,212.7682,288.1765,471.2384,0.701845798,0.741002508,0.386186409,0.788782816,0.235242291,0.341594828,139395.3093,139947.2166,73570.03891,286260.6061,214621.2121,122261.1465,1976207300,1857799300,37815000,47233000,14165000,19195000
"Charlestown, IN",3003.6704,2609.24,199.1072,94.256,40.592,60.4752,0.749805305,0.792379697,0.298203179,0.854744526,0.677966102,0.284414107,175632.2892,175425.1844,145892.8571,145506.3291,278846.1538,285312.5,364437000,332957000,8170000,11495000,7250000,4565000
"Charlotte, MI",3687.3045,3289.374,157.113,127.314,59.3505,54.153,0.771891906,0.800818636,0.481096408,0.687791602,0.397831526,0.466179159,195754.3838,197527.4441,181239.4366,146712.5,296095.2381,141318.1818,484492100,450560100,12868000,11737000,6218000,3109000
"Charlotte, NC",341243.2148,170133.1625,110866.3958,31146.71,17808.8362,11288.1103,0.530463317,0.659964494,0.395404291,0.365868713,0.560032497,0.312627952,341413.1326,400160.6504,226992.3368,247573.8404,321078.8943,256205.0698,61366620700,44594703200,9887559200,2802288300,3182534000,899536000
"Charlottesville, VA",18861.5768,15056.7681,1974.8652,583.8976,738.9954,507.0505,0.580052835,0.635228041,0.361407249,0.383413462,0.396011396,0.287889273,448938.2418,450729.4143,373131.1707,505931.8182,435346.0208,647929.5775,4841350000,4247674000,264550000,111305000,125815000,92006000
"Chatham, NJ",3467.475,2712.9,138.75,355.95,228.825,31.05,0.697099474,0.759012496,0.220540541,0.440581542,0.656178302,0.65942029,695291.9946,700452.1554,267379.3103,709163.2653,592681.1594,1519444.444,1537290600,1316149600,7754000,104247000,81790000,27350000
"Chatham, IL",4845.8484,4018.2444,599.6346,77.406,90.0354,60.528,0.66593404,0.74253353,0.220227118,0.590225564,0.451842275,0.411538462,177783.8045,176579.652,197151.2605,205581.3953,211459.4595,106772.7273,509350600,466876600,23461000,8840000,7824000,2349000
"Chattanooga, TN",75827.1252,48882.7096,19294.6088,4063.8208,2073.4532,1512.5328,0.523990882,0.621156213,0.328869928,0.225218199,0.725717272,0.39901257,238491.5237,254274.0205,163657.569,136317.1617,321306.1497,180018.3028,9408729100,7664581800,1031370000,123912300,480674000,108191000
"Chelsea, AL",4387.3056,3475.7892,541.6794,209.7396,66.1896,93.9078,0.81910337,0.854849368,0.612412065,0.828023892,0.851735016,0.645358533,280748.1584,277599.2537,314758.8997,308024.3902,275882.3529,164166.6667,914677500,743966000,97260500,50516000,14070000,8865000
"Chelsea, MA",12868.6632,7158.8664,427.7152,4426.316,483.6936,372.072,0.469849704,0.561642553,0.312695925,0.337750852,0.717255717,0.134234234,493363.7433,509120.4149,548832.0611,438924.8985,550029.3255,321632.6531,2936501000,2012553000,71897000,648731000,187560000,15760000
"Cheney, WA",4552.4304,3929.688,113.7024,197.6688,87.3936,223.9776,0.762150433,0.811619854,0.288120567,0.353901071,0.933102653,0.428442844,333905.1625,332770.1488,284375,365441.1765,388311.6883,319450.5495,1099549700,1006629700,9100000,24850000,29900000,29070000
"Chesapeake, VA",86878,52702,25863,4231,2617,1465,0.690071134,0.788110508,0.506089781,0.606712361,0.725257929,0.589078498,326109.8963,349356.4584,257346.7033,285101.2855,337326.6596,347517.9606,19550940500,14510520500,3368411000,731855000,640246000,299908000
"Chester, PA",12822.03,7911.072,4169.88,389.61,181.584,169.884,0.621188065,0.711044723,0.467396184,0.561561562,0.551546392,0.422865014,165913.4214,178349.3832,114467.0866,206646.5116,328686.8687,231428.5714,1294290600,983061800,218059800,44429000,32540000,16200000
"Chesterfield, MO",19782.2535,15701.1679,1083.8756,518.1309,2113.649,365.4301,0.742500707,0.798037355,0.359260325,0.649713615,0.563188353,0.661702471,326705.0049,331293.3023,197081.1518,276559.2705,355461.1443,226006.3559,4686910000,4051054500,75285000,90988000,416245000,53337500
"Chestnut Ridge, NY",2636.9606,1900.5928,234.65,231.6898,216.3112,53.7168,0.720778687,0.781454186,0.392923077,0.571517607,0.846461949,0.143817204,556895.9544,591440.4675,417639.5349,434212.5984,430472.2892,735714.2857,977352400,809682000,35917000,55145000,71458400,5150000
"Cheviot, OH",3453.3264,2305.0008,887.3296,91.1072,48.564,121.3248,0.685746242,0.80572189,0.443861221,0.317955112,0.656140351,0.463483146,152969.5172,156772.9746,141533.871,164285.7143,155166.6667,105555.5556,332708700,265103100,52650600,4600000,4655000,5700000
"Chicago, IL",1078075.996,438666.4689,318186.5022,228643.5509,72772.8061,19806.6679,0.44515423,0.520798448,0.325576314,0.457237215,0.497401854,0.359354548,371370.58,463909.7102,222905.6839,274948.3134,471776.3831,471744.6928,1.78E+11,1.06E+11,23091022700,28731823800,17063680000,3355520000
"Chico, CA",36172.7961,29125.1628,635.2077,4865.0256,1035.2106,512.1894,0.525784442,0.536420147,0.404384896,0.389949109,0.831091181,0.744712991,422333.773,442418.7246,355000,282128.9125,423569.7538,339852.2546,7973239300,6861472000,90525000,531813000,361305000,128124300
"Chicopee, MA",21827.9765,18298.9675,869.4345,2070.3925,278.5145,310.6675,0.719131318,0.776160513,0.107446277,0.484575026,0.79875195,0.563636364,275926.6641,277539.0002,208326.087,236680.6419,338714.2857,328000,4277967000,3891929400,19166000,235970600,73501000,57400000
"Chino, CA",25453.2222,8506.905,546.5042,8217.7171,7704.0219,478.074,0.672945899,0.682589532,0.427958834,0.613300633,0.744539758,0.652941176,587326.3142,598307.4171,755217.3913,537876.2535,621222.3789,434126.2136,9943434500,3428301500,173700000,2681851000,3525437000,134145000
"Chino Hills, CA",26170.0614,8746.485,561.8954,8449.1527,7920.9903,491.538,0.672945899,0.682589532,0.427958834,0.613300633,0.744539758,0.652941176,587338.9772,598163.165,751054.8523,538080.3275,621351.3189,434022.082,10233207000,3530359000,178000000,2759814000,3627449000,137585000
"Chino Valley, AZ",5272.8705,4553.0289,64.638,487.0935,35.4996,132.6105,0.718383033,0.732380877,0.28968254,0.735123749,0.712427746,0.386847195,322011.403,328093.134,345882.3529,259065.0888,454545.4545,309023.2558,1115447500,998715500,5880000,87564000,10000000,13288000
"Chippewa Falls, WI",5670.7443,5303.6919,26.6409,141.1878,130.1547,69.069,0.679827267,0.703232026,0.713804714,0.236340534,0.143349414,0.787012987,242875.5513,244048.6032,155000,233750,261764.7059,195288.4615,881152500,856122500,2945000,7480000,4450000,10155000
"Chowchilla, CA",5508.4267,2516.6239,142.8391,2589.967,109.8285,149.1682,0.632392367,0.74407022,0.112076455,0.52942022,0.837288136,0.883527454,351066.3881,355614.182,600000,309946.2059,449883.7209,621738.0952,1176072400,636905000,9600000,412538400,38690000,78339000
"Christiansburg, VA",8081.583,7357.3938,235.3733,177.3862,240.8059,70.6238,0.600774514,0.627114835,0.285499247,0.619174434,0.15644924,0.376254181,229900.3009,229865.6335,137384.6154,222924.5283,515675.6757,83200,1069726100,1016006100,8930000,23630000,19080000,2080000
"Chula Vista, CA",77931.4562,18820.4021,4294.4209,39758.3912,13518.592,1539.65,0.593533902,0.714869886,0.320217308,0.525135831,0.699373108,0.709628292,538741.3177,526947.0888,525829.927,505389.4912,633399.9469,516616.0221,24776713200,7041067000,720387000,10488853500,5965360700,561045000
"Cibolo, TX",6541.1517,3572.5371,495.3915,2244.9579,31.0422,197.223,0.755704626,0.801391566,0.639575972,0.717575506,0.748120301,0.655029586,235265.2267,247009.8017,322732.6733,202486.1558,215217.3913,182612.9032,1100100200,660257200,97788000,314461000,4950000,22644000
"Cicero, IL",26594.256,9435.912,3212.448,12736.432,514.916,694.548,0.577759197,0.714721375,0.364142237,0.530638094,0.709568163,0.471437539,332585.3739,425576.7323,373194.1329,236913.6927,327144.4444,261176.4706,5052637000,2831362000,432532000,1586611000,117772000,84360000
"Cincinnati, OH",136933.4352,74044.7226,52817.0706,3685.8402,4016.0742,2369.7276,0.390233974,0.524444158,0.224254088,0.24830675,0.372125495,0.14753164,229241.7141,254440.3294,155788.2363,179564.693,212997.31,124005.7637,12167691700,9808674700,1835497000,163763000,316727000,43030000
"Citrus Heights, CA",36212.9383,27013.9804,1382.4932,5012.7242,1422.0382,1381.7023,0.607224758,0.667144865,0.406750572,0.393499527,0.548387097,0.472238122,370036.7021,371272.9127,372186.3799,410249.6179,305528.4238,289406.7797,8080861500,6643557500,207680000,805320000,236479000,187825000
"Claremont, CA",12480.309,6604.065,503.745,3590.967,1449.891,331.641,0.651084601,0.684373488,0.4794926,0.582952726,0.678125459,0.868336545,653100.7713,637151.4806,525296.6102,639669.4377,742223.8494,803613.4752,5165374000,2797095000,123970000,1308124000,709566000,226619000
"Claremore, OK",7760.9952,5975.4468,155.358,415.6032,84.0084,1130.5788,0.78493052,0.810933502,0.53968254,0.750791139,0.540117417,0.711938345,204401.0514,214228.2609,222804.878,142350.9934,208785.7143,167092.4262,1205353000,1005159000,18270000,42990000,8769000,130165000
"Clarendon Hills, IL",3296.0228,2591.036,179.375,195.1026,292.6826,37.8266,0.774912055,0.812450155,0.38624,0.415416299,0.909590116,0.858877086,460019.6799,473492.3402,219378.7879,573644.7368,410364.9194,255103.4483,1063565500,896321000,14479000,43597000,101770500,7398000
"Clarkston, GA",3028.6043,1342.7077,1266.4435,153.3563,213.793,52.3038,0.553843927,0.777012078,0.343126322,0.273420133,0.601366743,0.554934823,312756.445,364345.4746,206913.7056,376235.2941,245782.6087,333000,461003000,330097000,81524000,12792000,28265000,8325000
"Clarkston, WA",2943.864,2281.3176,13.0272,327.9456,160.7868,160.7868,0.576094276,0.619980138,0.5,0.534110535,0.177454866,0.443857332,275652.4373,289067.657,490000,115079.7546,474074.0741,338209.5238,395836900,340521700,2450000,18758000,12800000,21307200
"Clarksville, AR",3356.925,2796.43,185.705,315.835,32.955,26,0.697666763,0.709450979,0.498424921,0.745626672,0.282051282,0.7975,141896.3827,143276.0771,99104.65116,140986.6667,161875,213627.7778,298124300,252739000,8523000,31722000,1295000,3845300
"Clarksville, TN",59407.952,39155.176,12627.376,4839.444,710.988,2074.968,0.610892831,0.688530885,0.416250851,0.58144696,0.745216516,0.35300207,203432.8292,209309.7855,176875.4782,205929.0046,185741.4449,181220.9945,7330702000,5599874000,924705000,577219000,97700000,131204000
"Clarksville, IN",8604.9918,7475.0175,570.4074,270.027,116.289,173.2509,0.749805305,0.792379697,0.298203179,0.854744526,0.677966102,0.284414107,175711.1465,175560.1667,146445.7831,145869.5652,279870.1299,270937.5,1103466000,1011051000,24310000,33550000,21550000,13005000
"Clawson, MI",5598.1908,4395.2517,744.2685,167.7942,169.9677,120.9087,0.647512979,0.697938596,0.338172716,0.648408586,0.69419072,0.651771957,219218.0609,224008.2427,200049.3827,176332.0388,183540.5405,210933.3333,741614700,638647500,48612000,18162200,20373000,15820000
"Clayton, CA",4498.4488,3081.8569,122.5402,448.7962,717.2777,127.9778,0.671365049,0.712341284,0.411251981,0.465382951,0.677812373,0.619878604,874170.8551,905132.82,857193.8776,734823.2323,818959.1398,737600,2504499500,1880866000,42002500,145495000,380816000,55320000
"Clayton, OH",3561.7426,2373.9482,970.6042,71.9971,33.8847,111.3084,0.697409914,0.76939025,0.575477831,0.800175285,0.674115456,0.166099773,157311.3793,162239.9293,107117.2023,297545.4545,715333.3333,83941.17647,364962400,275483400,56665000,16365000,15022000,1427000
"Clayton, NC",7018.2918,5141.7738,1094.4288,535.2894,96.7356,150.0642,0.732040181,0.799358035,0.5041841,0.509356621,0.729783037,0.883026065,202040.134,205138.0565,188753.271,152084.2912,276014.4928,224076.9231,995249700,806397700,100983000,39694000,19045000,29130000
"Clearfield, UT",10633.7784,9254.427,70.6538,977.5556,186.4772,144.6648,0.76185351,0.781185588,0.22462203,0.605526069,0.854337152,0.724683544,345678.6079,348041.8751,335000,351991.3345,257122.5806,282760,2711503000,2435249000,5025000,203099000,39854000,28276000
"Clearlake, CA",6044.7,4648.7,111.4,1007,34.3,243.3,0.632669942,0.686320907,0.177737882,0.434955313,0.33819242,0.675709001,398100.1097,426349.8523,190000,256377.6722,1045454.545,196837.1622,1451074900,1299088000,3420000,107935000,11500000,29131900
"Clearwater, FL",47363.283,36223.181,4000.057,5256.4858,700.5282,1183.031,0.662583626,0.736238488,0.47792554,0.356632296,0.567423838,0.44747551,314718.3927,328709.3731,238427.1436,219190.3991,235565.2174,286650.7634,9743052000,8641112000,453250000,406379000,92106000,150205000
"Clemmons, NC",8048.78,6740.6025,662.1275,450.3175,94.99,100.7425,0.7783866,0.798179391,0.652261083,0.704552899,0.913043478,0.486090776,228656.4812,237063.8273,186850,125987.1383,325829.2683,192276.5957,1372396200,1218982200,78477000,39182000,26718000,9037000
"Clemson, SC",5708.8828,5063.2656,342.3912,157.3768,75.6096,70.2396,0.723063224,0.750212116,0.578209954,0.477252047,0.236742424,0.546381244,224885.2571,231481.166,139578.9474,139718.3099,297941.1765,165857.1429,857262600,809952600,26520000,9920000,5065000,5805000
"Cleveland, MS",4048.7854,1139.0786,2846.8924,35.6642,9.5546,17.5956,0.516834505,0.775932232,0.409118097,0.737400531,0.663366337,0.64516129,143371.1962,190971.5698,108786.4583,21240,240000,192000,273265500,154496000,114878500,531000,1440000,1920000
"Cleveland, OH",171854.173,63452.7468,81684.7364,18763.072,3600.453,4353.1648,0.408140647,0.503366792,0.360574652,0.313052809,0.365290534,0.35794156,114810.5566,134893.2993,101828.3437,80336.72529,95327.23112,96041.11183,8005625300,4277871200,2983672300,470532200,124974000,148575600
"Cleveland Heights, OH",19518.3142,8689.9323,9507.0458,529.6508,434.14,357.5453,0.532299577,0.697855333,0.407691304,0.300936768,0.353571429,0.381613183,139493.0831,152407.565,121174.0954,128407.6433,135666.6667,107666.6667,1419760600,902557600,462158000,20160000,20350000,14535000
"Clewiston, FL",2664.908,1565.001,166.383,868.1245,22.8655,42.534,0.726293553,0.776578737,0.934001671,0.608758306,0.194528875,0.748366013,155578.5393,160072.8767,158517.0068,134021.7391,567500,295107.1429,276929800,175279800,23302000,67815000,2270000,8263000
"Cliffside Park, NJ",10543.335,4685.8691,141.0959,2349.7562,3162.4824,204.1314,0.505372645,0.589171857,0.077111383,0.430471851,0.469801223,0.291032149,492631.157,484057.3617,350000,437358.871,555227.4619,298526.3158,2550351500,1295337500,3500000,433860000,800638000,17016000
"Clifton, NJ",27167.1042,11221.5625,1736.6812,12815.0184,1137.9539,255.8882,0.42588951,0.636873956,0.165405948,0.262264493,0.641275363,0.17796952,385833.0167,408015.6857,260035.3357,359840.6861,325502.0862,609666.6667,4386921400,2856109800,73590000,1195750600,234036000,27435000
"Clinton, NC",3080.0832,1795.9836,798.3408,397.2588,7.5756,80.9244,0.716945568,0.819489888,0.537956722,0.621636072,0.85046729,0.662292213,141066.6169,161938.7266,100965.4639,99485.40773,174400,84265.30612,283543900,216188200,39174600,23180100,872000,4129000
"Clinton, OK",3295.7268,2474.0556,145.6584,477.0888,24.0846,174.8394,0.735970469,0.771712406,0.879232506,0.502584425,0.542662116,0.774330042,170194.6265,194204.6343,98246.03175,46606.06061,345000,110351.5625,389575500,347820500,12379000,10766000,4485000,14125000
"Clinton, TN",4044.756,3650.25,232.965,50.313,71.796,39.432,0.714407247,0.735821656,0.501397206,0.456561922,0.527202073,0.660377358,192842.7936,192931.6441,209178.5714,167650,224324.3243,79791.66667,520482700,483486700,23428000,3353000,8300000,1915000
"Clinton, UT",7212.294,6276.7575,47.9205,663.021,126.477,98.118,0.76185351,0.781185588,0.22462203,0.605526069,0.854337152,0.724683544,345959.6913,347891.1092,335000,357702.5641,256274.5098,279909.0909,1815250500,1627782500,3350000,139504000,26140000,18474000
"Clive, IA",7671.6648,6744.2316,193.39,203.5488,421.4504,109.044,0.704108657,0.727346849,0.769156627,0.358974359,0.612560814,0.14957265,276129.5905,283292.011,226444.4444,208309.8592,190559.5238,258400,1436150000,1336855000,32608000,14790000,48021000,3876000
"Closter, NJ",2831.928,2091.816,67.8912,153.816,497.5152,20.8896,0.848955482,0.870918666,0.528846154,0.705570292,0.849270133,0.73828125,685015.493,672886.3418,476666.6667,564108.9109,795388.7468,405714.2857,1507719100,1118337100,15730000,56975000,310997000,5680000
"Clovis, CA",38040.66,22765.376,803.58,9729.22,3675.584,1066.9,0.707984246,0.720285578,0.615819209,0.626318245,0.84708498,0.780425532,385792.4965,381012.9583,421097.561,386942.9514,403680.1292,383510.8959,10324193000,6204034000,207180000,2346809000,1249390000,316780000
"Clovis, NM",14383.2138,8259.6528,317.0016,5300.6043,151.5297,354.4254,0.591883067,0.596348614,0.05787037,0.636256662,0.266343826,0.440993789,291008.436,200405.4587,10000,434611.6622,180000,84876.62338,2431957500,965553500,180000,1445953000,7200000,13071000
"Clute, TX",4162.971,2450.61,321.492,1316.0805,16.425,58.3635,0.714003893,0.779892761,0.395435967,0.68383393,0.706666667,0.384615385,179004.0729,194180.4714,118906.6667,155773.6721,188000,188300,501032400,346029600,14268800,134900000,2068000,3766000
"Coachella, CA",13757.5359,5322.6558,348.3378,7892.2683,105.0435,89.2305,0.768115466,0.846659876,0.572632944,0.728225091,0.352688172,0.863291139,315537.9744,408633.0691,319871.7949,243328.7071,355833.3333,278684.2105,3283803700,1804115000,62375000,1383323700,12810000,21180000
"Coalinga, CA",3926.995,904.1875,78.44,2793.5925,134.865,15.91,0.531822679,0.650332481,0.594339623,0.472865137,0.941015089,0.372093023,284055.134,325340.6998,273863.6364,261666.9298,336525.4237,325000,561577000,176660000,12050000,331532000,39710000,1625000
"Cocoa, FL",7410.7296,5846.1862,889.0746,520.4248,66.9678,88.0762,0.789145997,0.823414759,0.585670764,0.776740847,0.935843794,0.530222694,246276.1197,243407.6498,213369.7813,325181.3472,286050.8475,171772.7273,1358212800,1100932800,107325000,125520000,16877000,7558000
"Coconut Creek, FL",23333.0265,12486.509,4234.496,5213.334,931.161,467.5265,0.718312796,0.733343723,0.652803309,0.696528555,0.975966562,0.639958377,235567.8604,238627.8944,261162.3178,219243.7396,178571.5871,276418.9189,3907364100,2160059700,716629400,787962000,160893000,81820000
"Cohoes, NY",6659.8572,5653.9668,295.1004,170.5896,361.2774,178.923,0.676627901,0.722111439,0.367663344,0.494252874,0.452510176,0.375342466,274928.3055,270942.6234,198747.5728,304962.5,410649.3506,269375,1151949600,1026601600,20471000,24397000,63240000,17240000
"College Park, MD",8383.8267,1465.3494,3257.0262,2862.9342,629.1054,169.4115,0.406546476,0.611511971,0.350745167,0.365116669,0.487012987,0.107801418,362532.4714,398216.185,326019.6604,376042.885,353322.1477,300000,1205783000,344457000,364816000,385820000,105290000,5400000
"College Station, TX",38522.0307,23121.6,4663.3377,7912.4042,2084.3159,740.3729,0.485438471,0.533479167,0.266501394,0.510532083,0.384562052,0.379960963,262463.4677,291928.3298,223232.9545,182882.5587,291456.4943,208892.8571,4851637200,3555103200,275023000,731896000,231125000,58490000
"Colleyville, TX",9549.6464,7012.1368,567.6616,948.3784,798.5816,222.888,0.653139325,0.733913691,0.111071808,0.463900064,0.690973095,0.162162162,590163.5375,574440.998,510655.7377,776899.0698,586393.6567,742857.1429,3583473000,2877949400,31150000,334066600,314307000,26000000
"Collierville, TN",16911.554,10294.194,4980.396,397.838,1067.538,171.588,0.692831303,0.824981538,0.550298008,0.200181984,0.338758901,0.246835443,354111.2506,394890.8493,227533.0624,129101.2658,403212.2905,400000,4088568500,3301287500,615932000,10199000,144350000,16800000
"Collingdale, PA",3315.0975,2045.384,1078.11,100.7325,46.948,43.923,0.621188065,0.711044723,0.467396184,0.561561562,0.551546392,0.422865014,166703.9494,179022.3547,115863.7931,205981.1321,331304.3478,236764.7059,316570800,240248000,53760800,10917000,7620000,4025000
"Collingswood, NJ",5687.274,4074.7806,888.3381,394.3116,174.5295,155.3142,0.634606158,0.730788548,0.326891079,0.500288351,0.54267101,0.315519766,218853.665,220747.3665,177453.2374,207473.6842,237230.7692,361702.1277,743445900,616105900,49332000,39420000,21588000,17000000
"Collinsville, IL",8916.1998,7854.7386,495.0762,296.3772,141.6891,128.3187,0.755300537,0.791101234,0.389347337,0.610902256,0.487549148,0.604920405,209743.1423,208587.5599,267600,165621.4689,251268.6567,223466.6667,1376334500,1262580500,50844000,29315000,16835000,16760000
"Colonial Heights, VA",6461.1416,3123.2432,2880.1748,319.0712,82.5288,56.1236,0.615284209,0.760158159,0.457489455,0.584959094,0.743309002,0.635062612,199166.7556,220598.0216,165820.431,176636.8715,184327.5862,170147.0588,746477000,490610000,207773000,31618000,10691000,5785000
"Colonie, NY",3211.7304,2726.6376,142.3128,82.2672,174.2268,86.286,0.676627901,0.722111439,0.367663344,0.494252874,0.452510176,0.375342466,275797.8552,271727.3266,199913.0435,305823.5294,413571.4286,264821.4286,514363000,458404000,9196000,10398000,28950000,7415000
"Colorado Springs, CO",182022.9438,133884.5159,11348.9296,26433.9303,5483.3986,4872.1694,0.615902463,0.667886011,0.451469864,0.460824708,0.51014422,0.530842011,361131.1795,367374.8308,330139.9765,335799.8517,365199.0658,321912.9082,40279849500,32673582700,1686355000,4075602800,1016349000,827960000
